"Proteins","Genes","Pro_Cerebellum","Pro_Frontal_Cortex","Pro_Heart","Pro_Kidney","Pro_Liver","Pro_Lung","Pro_Spleen","Pro_Amygdala","Pro_Entorhinal_Cortex","Pro_Gut","Pro_Olfactory_Bulb","Pro_Striatum","Pro_Thalamus","Pro_Substantia_Nigra"
"A0A087WQ89","Misp3",NA,-1.01303879498421,NA,5.6137964951833,NA,6.47762756439956,NA,NA,NA,-1.69485873396615,NA,NA,NA,NA
"A0A0G2JDV3","Gbp6",0.776867372635057,NA,4.32054333416468,-1.0634288578167,0.808164607244911,2.37817135439956,2.50920701670565,0.455207411638238,0.40830445802788,2.57913428003385,0.246844765749021,NA,-0.148600865738107,0.650678158224505
"A0A140LIF8","Irgm2",-0.671849046364944,NA,0.423529054164678,0.5692887451833,1.63601325724491,3.82608814439956,3.68541788670565,1.18969161163824,NA,4.83451090003385,-0.618974378250978,NA,0.434944136261894,NA
"A0A286YCX6","Trappc8",3.70522176263506,3.89277054201579,0.434436374164677,3.7233026251833,3.22353052724491,3.02810263439956,3.54304949670565,3.71350411163824,3.72578593802788,3.63074560003385,3.91262523974902,3.58683960449003,3.75116234626189,3.6738961482245
"A0JNU3","Aspg",-0.0271609353649429,-0.735656480984211,NA,3.9176696551833,6.26959013724491,-1.36021798260044,-0.991201277294347,-2.09226361336176,-0.26554590297212,1.74830879003385,-1.51326325525098,0.205837434490033,-1.65764852373811,-1.9279244117755
"A2A432","Cul4b",3.99456652263506,3.81540240201579,-2.67846494283532,2.9499068151833,2.98992757724491,2.10899431439956,3.22731523670565,4.10548968163824,4.10857253802788,3.13888726003385,4.06002268974902,4.02652734449003,4.07566573626189,4.0009648682245
"A2A4P0","Dhx8",0.166547386635056,-0.124794318984211,NA,-0.387804644816701,-0.474139851755089,0.872607064399559,4.70671284670565,-1.20939921636176,0.0174531370278798,1.89941473003385,-0.050654010250978,-0.345500917509967,-1.05638985973811,-0.993656731775497
"A2A4P4","Gm27029",5.46905127263506,4.88248095201579,3.90256468416468,5.6889887851833,5.26110463724491,3.79489885439956,4.22847958670565,5.34679583163824,5.12440780802788,5.17270516003385,5.46690051974902,4.84176457449003,5.34581684626189,5.4885330382245
"A2A5R2","Arfgef2",4.26887447263506,4.34857640201579,2.70991385416468,4.1485937551833,3.39480663724491,3.11978800439956,3.33407709670565,4.31762567163824,4.31796071802788,4.16511403003385,4.31798348974902,4.31248535449003,4.30428440626189,4.3120856182245
"A2A690","Tanc2",2.58014494263506,4.31976283201579,-1.48048229783532,2.2140153251833,-4.37426517175509,-1.83955242360044,-1.62798488229435,4.21447524163824,4.41846786802788,-1.85595031896615,3.83149889974902,4.14338341449003,4.34150853626189,3.9282774582245
"A2A8L1","Chd5",NA,-1.53840544498421,NA,NA,1.55574257724491,NA,NA,-2.26913897236176,-1.54287733497212,NA,-1.64775275225098,-3.29387180950997,-2.02342075173811,-3.2238102377755
"A2A8L5","Ptprf",1.55709553263506,2.25074649201579,-4.13559608683532,3.4808867951833,4.63281611724491,1.60754917439956,-0.696560731294346,2.97154479163824,2.71255492802788,2.78939128003385,2.74541468974902,2.63966668449003,3.03488278626189,2.5842805482245
